@id,@lon,@lat,name
1375310234,21.6284788,41.9578313,
1375310239,21.3747956,41.9764058,
1375310272,21.6285467,41.9575450,
1460460122,21.4081364,41.9946750,
1472158862,21.4278701,41.9939665,
1576531542,21.7124862,42.1367662,
1576531545,21.7129383,42.1369355,
1596492138,21.4195775,41.9937484,
1596501225,21.4198853,41.9939086,
1596507496,21.4236542,41.9933229,
1596507499,21.4236158,41.9932262,
1596507501,21.4214971,41.9936913,
1596507507,21.4215355,41.9937880,
1645045601,21.3334144,41.0257257,
1645045634,21.3335456,41.0262050,
1645045649,21.3133971,41.0275390,
1645045651,21.3163476,41.0276441,
1645045652,21.3125295,41.0277271,
1645045654,21.3135188,41.0279304,
1645045658,21.3126765,41.0281116,
1645045660,21.3165675,41.0283897,
1645045667,21.3137533,41.0287526,
1645045678,21.3143798,41.0292276,
1645045708,21.3116784,41.0297648,
1645045713,21.3138972,41.0297836,
1645045761,21.3142202,41.0304467,
1645045762,21.3106936,41.0305735,
1645045763,21.3121004,41.0306044,
1645045773,21.3106653,41.0309089,
1645045786,21.3098538,41.0316479,
1654061368,21.3122893,41.0271598,
1662433399,21.4800166,41.0548228,
1662433425,21.4797870,41.0549397,
1662433451,21.4812470,41.0549625,
1662433459,21.4821307,41.0550826,
1662433474,21.4810701,41.0551053,
1662433496,21.4819743,41.0552220,
1674866800,22.5046893,41.1649826,
1674866801,22.5044248,41.1649926,
1674866803,22.5047959,41.1648999,
1674866805,22.5045802,41.1650046,
1674866809,22.5048476,41.1647891,
1674951399,21.2970545,41.0378236,
1674951436,21.2970783,41.0379525,
1674951439,21.2968401,41.0379691,
1682245752,21.1129689,41.0658441,
1682245820,21.1138369,41.0661027,
1685723681,21.4661722,41.9895669,
1685723708,21.4652967,41.9865782,
1685723713,21.4667741,41.9892332,
1725325786,21.3211692,41.0248162,
1725881943,21.3202465,41.0248475,
1731114308,21.4059126,42.0096114,
1731114310,21.4048661,42.0096773,
1731114333,21.4059299,42.0097630,
1731114337,21.4048828,42.0098241,
1731114340,21.4059519,42.0099564,
1731114343,21.4049044,42.0100175,
1731114344,21.4059701,42.0101155,
1731114347,21.4049231,42.0101814,
1731114379,21.4059244,42.0113129,
1748378531,21.4202805,41.9984758,
1749774843,21.7025387,42.2300065,
1749774956,21.7030527,42.2303301,
1749775033,21.7025555,42.2285604,
1761029395,21.4199835,41.9984753,
1831025662,21.4335951,42.0037675,
1838584434,21.4353467,41.9941924,
1838584446,21.4353207,41.9942433,
1838584449,21.4351576,41.9942848,
1838584451,21.4330053,41.9946581,
1838584456,21.4330992,41.9948338,
1838584458,21.4332386,41.9948477,
1838816009,21.4615120,42.0105096,
1838816012,21.4613854,42.0107156,
1838816017,21.4618202,42.0100771,
1838816022,21.4619050,42.0098691,
1839656043,21.4406717,41.9961872,
1848409290,21.4375679,41.9921290,
1848476255,21.4466921,41.9901689,
1848495225,21.4425364,41.9924687,
1848495230,21.4419476,41.9924958,
1848495231,21.4422914,41.9924869,
1848495233,21.4426791,41.9924070,
1848495235,21.4424279,41.9925106,
1848495237,21.4422029,41.9924554,
1848495238,21.4421413,41.9924420,
